Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.9066666666666667	0.8808616329204564	0.875	0.8733333333333333	0.8125	0.8666666666666667	0.736842105263158	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.9013333333333333	0.8738915115385704	0.85	0.8533333333333333	0.7647058823529411	0.8666666666666667	0.6883116883116883	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.8986666666666666	0.8765462604936289	0.9	0.8933333333333333	0.8666666666666667	0.8666666666666667	0.7866666666666666	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.8986666666666666	0.8765462604936289	0.85	0.8533333333333333	0.7647058823529411	0.8666666666666667	0.6883116883116883	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.9226666666666667	0.872041755629991	0.875	0.8866666666666667	0.7777777777777778	0.9333333333333333	0.7435897435897436	0.9333333333333333
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.9306666666666666	0.8698963027831313	0.875	0.8733333333333333	0.8125	0.8666666666666667	0.736842105263158	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
2	0.9306666666666666	0.878385699859485	0.875	0.8866666666666667	0.7777777777777778	0.9333333333333333	0.7435897435897436	0.9333333333333333
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
3	0.9306666666666666	0.8770955713794589	0.85	0.8533333333333333	0.7647058823529411	0.8666666666666667	0.6883116883116883	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
4	0.9333333333333333	0.87909381468205	0.875	0.8733333333333333	0.8125	0.8666666666666667	0.736842105263158	0.8666666666666667
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.6106666666666667	0.4938287549328739	0.6	0.6	0.47368421052631576	0.6	0.189873417721519	0.6
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.5413333333333333	0.4613812409364525	0.525	0.5800000000000001	0.42857142857142855	0.8	0.13636363636363635	0.8
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
2	0.44	0.3801187728066592	0.4	0.52	0.38461538461538464	1.0	0.030303030303030276	1.0
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
3	0.36	0.28779821872848677	0.4	0.5066666666666667	0.3783783783783784	0.9333333333333333	0.010309278350515427	0.9333333333333333
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
4	0.336	0.2810319167207283	0.35	0.45333333333333337	0.35135135135135137	0.8666666666666667	-0.07216494845360821	0.8666666666666667
