Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.9637593750406197	0.9591095992889384	0.937799043062201	0.9388220919501384	0.9117117117117117	0.9457943925233645	0.8734660612411224	0.9457943925233645
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.9624140485877322	0.9510174276579477	0.9122807017543859	0.9048496743920034	0.934560327198364	0.8542056074766355	0.8187065790822563	0.8542056074766355
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
2	0.968462168380279	0.9614801917396876	0.9417862838915471	0.9391899444971599	0.9408396946564885	0.9214953271028037	0.8806968797324666	0.9214953271028037
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
3	0.96770566596909	0.9631341820835481	0.9465709728867624	0.9455149285742139	0.9365671641791045	0.9383177570093458	0.8908168012537784	0.9383177570093458
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
4	0.9672026308606191	0.9592647306676607	0.9433811802232854	0.9415374416700246	0.9377358490566038	0.9289719626168225	0.884132169024349	0.9289719626168225
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
5	0.9615145646211639	0.9545728299914532	0.9354066985645934	0.9362575227795614	0.9097472924187726	0.9420560747663551	0.8685680864774219	0.9420560747663551
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
6	0.9661354685245604	0.9571729226862684	0.9433811802232854	0.9424941182587446	0.9312267657992565	0.9364485981308411	0.8843537061523714	0.9364485981308411
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
7	0.9654777533698153	0.9561186343152495	0.9401913875598086	0.9380382930601951	0.9356060606060606	0.9233644859813084	0.8775457592162929	0.9233644859813084
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
8	0.9660470799266895	0.9557081269969112	0.9425837320574163	0.9406028622307723	0.9376181474480151	0.9271028037383178	0.882472085037476	0.9271028037383178
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
9	0.9651605942833374	0.9536696099919282	0.937799043062201	0.9352345547424382	0.9352380952380952	0.9177570093457944	0.8725559942149084	0.9177570093457944
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
10	0.9650553078652855	0.9586952564901604	0.9425837320574163	0.9422770462610324	0.9263351749539595	0.9401869158878504	0.8828648602364809	0.9401869158878504
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
11	0.9646406613546853	0.9597383287998178	0.9425837320574163	0.9420378771138523	0.9279112754158965	0.9383177570093458	0.8828089103025049	0.9383177570093458
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
12	0.965021512224923	0.9565473885975307	0.9409888357256778	0.9394512107938076	0.9324577861163227	0.9289719626168225	0.8793230354685927	0.9289719626168225
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
13	0.9656207349251948	0.9597654826644182	0.9401913875598086	0.9387558005017353	0.9307116104868914	0.9289719626168225	0.8777215249120454	0.9289719626168225
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
14	0.9649526211118766	0.95626169745773	0.937799043062201	0.9357128930367982	0.9319470699432892	0.9214953271028037	0.8726780921239323	0.9214953271028037
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
15	0.9649279242977657	0.9590724501835645	0.9385964912280702	0.9380824873591307	0.922509225092251	0.9345794392523364	0.8747005650010771	0.9345794392523364
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
16	0.963287535907868	0.9568234663462402	0.9354066985645934	0.9338658313077612	0.9250936329588015	0.9233644859813084	0.8679392469050089	0.9233644859813084
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
17	0.9660496795913328	0.9583078269035885	0.937799043062201	0.9359520621839783	0.9303201506591338	0.9233644859813084	0.872739053388395	0.9233644859813084
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
18	0.9657858136300419	0.9603362812455486	0.9370015948963317	0.9357349901862659	0.9253731343283582	0.9271028037383178	0.8712616014783356	0.9271028037383178
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
19	0.9650020147400985	0.9597543204523391	0.9330143540669856	0.9332146153146244	0.9107468123861566	0.9345794392523364	0.8635377882799201	0.9345794392523364
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
20	0.9651917902590565	0.957578703202617	0.9314194577352473	0.9289537649643196	0.9259962049335864	0.9121495327102803	0.8595521567789878	0.9121495327102803
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
21	0.9647589460959537	0.9580170220308217	0.9401913875598086	0.9392341387960953	0.9275092936802974	0.9327102803738317	0.8778384219919416	0.9327102803738317
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
22	0.9652931771801438	0.9567364547196916	0.9354066985645934	0.9338658313077612	0.9250936329588015	0.9233644859813084	0.8679392469050089	0.9233644859813084
Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
