Epoch: 0, Train Loss: 0.6639, Train Acc: 0.6167,Test Loss: 0.5936, Test Acc: 0.7033
Epoch: 1, Train Loss: 0.5943, Train Acc: 0.6986,Test Loss: 0.5565, Test Acc: 0.7528
Epoch: 2, Train Loss: 0.5855, Train Acc: 0.7088,Test Loss: 0.5565, Test Acc: 0.7464
Epoch: 3, Train Loss: 0.5721, Train Acc: 0.7206,Test Loss: 0.5498, Test Acc: 0.7464
Epoch: 4, Train Loss: 0.5618, Train Acc: 0.7361,Test Loss: 0.5459, Test Acc: 0.7616
Epoch: 5, Train Loss: 0.5583, Train Acc: 0.7375,Test Loss: 0.5301, Test Acc: 0.7735
Epoch: 6, Train Loss: 0.5419, Train Acc: 0.7622,Test Loss: 0.5140, Test Acc: 0.7831
Epoch: 7, Train Loss: 0.5393, Train Acc: 0.7628,Test Loss: 0.5144, Test Acc: 0.7974
Epoch: 8, Train Loss: 0.5461, Train Acc: 0.7572,Test Loss: 0.5148, Test Acc: 0.7847
Epoch: 9, Train Loss: 0.5269, Train Acc: 0.7790,Test Loss: 0.5275, Test Acc: 0.7727
Epoch: 10, Train Loss: 0.5252, Train Acc: 0.7768,Test Loss: 0.5072, Test Acc: 0.7990
Epoch: 11, Train Loss: 0.5116, Train Acc: 0.7987,Test Loss: 0.4980, Test Acc: 0.8166
Epoch: 12, Train Loss: 0.5081, Train Acc: 0.7999,Test Loss: 0.5192, Test Acc: 0.7815
Epoch: 13, Train Loss: 0.5065, Train Acc: 0.8007,Test Loss: 0.5035, Test Acc: 0.8038
Epoch: 14, Train Loss: 0.5005, Train Acc: 0.8090,Test Loss: 0.4971, Test Acc: 0.8102
Epoch: 15, Train Loss: 0.4976, Train Acc: 0.8098,Test Loss: 0.5412, Test Acc: 0.7552
Epoch: 16, Train Loss: 0.4990, Train Acc: 0.8108,Test Loss: 0.4918, Test Acc: 0.8142
Epoch: 17, Train Loss: 0.4886, Train Acc: 0.8168,Test Loss: 0.4958, Test Acc: 0.8022
Epoch: 18, Train Loss: 0.4877, Train Acc: 0.8146,Test Loss: 0.5140, Test Acc: 0.7815
Epoch: 19, Train Loss: 0.4873, Train Acc: 0.8170,Test Loss: 0.4941, Test Acc: 0.8126
Epoch: 20, Train Loss: 0.4797, Train Acc: 0.8282,Test Loss: 0.4997, Test Acc: 0.8022
Epoch: 21, Train Loss: 0.4778, Train Acc: 0.8288,Test Loss: 0.4969, Test Acc: 0.8102
Epoch: 22, Train Loss: 0.4715, Train Acc: 0.8391,Test Loss: 0.4923, Test Acc: 0.8062
Epoch: 23, Train Loss: 0.4702, Train Acc: 0.8387,Test Loss: 0.4907, Test Acc: 0.8158
Epoch: 24, Train Loss: 0.4815, Train Acc: 0.8268,Test Loss: 0.4923, Test Acc: 0.8054
Epoch: 25, Train Loss: 0.4645, Train Acc: 0.8451,Test Loss: 0.4822, Test Acc: 0.8206
Epoch: 26, Train Loss: 0.4658, Train Acc: 0.8459,Test Loss: 0.4813, Test Acc: 0.8214
Epoch: 27, Train Loss: 0.4648, Train Acc: 0.8481,Test Loss: 0.4812, Test Acc: 0.8254
Epoch: 28, Train Loss: 0.4639, Train Acc: 0.8437,Test Loss: 0.4866, Test Acc: 0.8102
Epoch: 29, Train Loss: 0.4633, Train Acc: 0.8445,Test Loss: 0.4848, Test Acc: 0.8134
Epoch: 30, Train Loss: 0.4531, Train Acc: 0.8581,Test Loss: 0.4911, Test Acc: 0.8118
Epoch: 31, Train Loss: 0.4551, Train Acc: 0.8527,Test Loss: 0.4796, Test Acc: 0.8254
Epoch: 32, Train Loss: 0.4566, Train Acc: 0.8525,Test Loss: 0.4793, Test Acc: 0.8190
Epoch: 33, Train Loss: 0.4562, Train Acc: 0.8549,Test Loss: 0.4939, Test Acc: 0.8038
Epoch: 34, Train Loss: 0.4562, Train Acc: 0.8515,Test Loss: 0.4967, Test Acc: 0.8062
Epoch: 35, Train Loss: 0.4522, Train Acc: 0.8565,Test Loss: 0.4783, Test Acc: 0.8238
Epoch: 36, Train Loss: 0.4526, Train Acc: 0.8561,Test Loss: 0.4954, Test Acc: 0.8022
Epoch: 37, Train Loss: 0.4471, Train Acc: 0.8647,Test Loss: 0.4773, Test Acc: 0.8270
Epoch: 38, Train Loss: 0.4448, Train Acc: 0.8675,Test Loss: 0.4896, Test Acc: 0.8118
Epoch: 39, Train Loss: 0.4432, Train Acc: 0.8680,Test Loss: 0.4790, Test Acc: 0.8190
Epoch: 40, Train Loss: 0.4419, Train Acc: 0.8676,Test Loss: 0.4767, Test Acc: 0.8230
Epoch: 41, Train Loss: 0.4396, Train Acc: 0.8708,Test Loss: 0.4827, Test Acc: 0.8190
Epoch: 42, Train Loss: 0.4366, Train Acc: 0.8762,Test Loss: 0.4801, Test Acc: 0.8238
Epoch: 43, Train Loss: 0.4399, Train Acc: 0.8712,Test Loss: 0.4754, Test Acc: 0.8270
Epoch: 44, Train Loss: 0.4383, Train Acc: 0.8748,Test Loss: 0.4788, Test Acc: 0.8262
Epoch: 45, Train Loss: 0.4335, Train Acc: 0.8802,Test Loss: 0.4792, Test Acc: 0.8293
Epoch: 46, Train Loss: 0.4385, Train Acc: 0.8722,Test Loss: 0.4743, Test Acc: 0.8270
Epoch: 47, Train Loss: 0.4357, Train Acc: 0.8754,Test Loss: 0.4832, Test Acc: 0.8238
Epoch: 48, Train Loss: 0.4422, Train Acc: 0.8680,Test Loss: 0.4943, Test Acc: 0.8030
Epoch: 49, Train Loss: 0.4377, Train Acc: 0.8716,Test Loss: 0.4772, Test Acc: 0.8230
Epoch: 50, Train Loss: 0.4290, Train Acc: 0.8860,Test Loss: 0.4778, Test Acc: 0.8246
Epoch: 51, Train Loss: 0.4313, Train Acc: 0.8798,Test Loss: 0.4687, Test Acc: 0.8365
Epoch: 52, Train Loss: 0.4272, Train Acc: 0.8854,Test Loss: 0.4761, Test Acc: 0.8278
Epoch: 53, Train Loss: 0.4308, Train Acc: 0.8802,Test Loss: 0.4792, Test Acc: 0.8206
Epoch: 54, Train Loss: 0.4268, Train Acc: 0.8848,Test Loss: 0.4722, Test Acc: 0.8349
Epoch: 55, Train Loss: 0.4348, Train Acc: 0.8762,Test Loss: 0.4782, Test Acc: 0.8309
Epoch: 56, Train Loss: 0.4248, Train Acc: 0.8862,Test Loss: 0.4826, Test Acc: 0.8166
Epoch: 57, Train Loss: 0.4216, Train Acc: 0.8920,Test Loss: 0.4915, Test Acc: 0.8078
Epoch: 58, Train Loss: 0.4270, Train Acc: 0.8838,Test Loss: 0.4846, Test Acc: 0.8102
Epoch: 59, Train Loss: 0.4201, Train Acc: 0.8928,Test Loss: 0.4669, Test Acc: 0.8349
Epoch: 60, Train Loss: 0.4189, Train Acc: 0.8948,Test Loss: 0.4785, Test Acc: 0.8301
Epoch: 61, Train Loss: 0.4204, Train Acc: 0.8922,Test Loss: 0.4711, Test Acc: 0.8381
Epoch: 62, Train Loss: 0.4265, Train Acc: 0.8842,Test Loss: 0.4733, Test Acc: 0.8285
Epoch: 63, Train Loss: 0.4227, Train Acc: 0.8872,Test Loss: 0.4770, Test Acc: 0.8262
Epoch: 64, Train Loss: 0.4194, Train Acc: 0.8932,Test Loss: 0.4726, Test Acc: 0.8381
Epoch: 65, Train Loss: 0.4190, Train Acc: 0.8930,Test Loss: 0.4756, Test Acc: 0.8317
Epoch: 66, Train Loss: 0.4178, Train Acc: 0.8948,Test Loss: 0.4658, Test Acc: 0.8405
Epoch: 67, Train Loss: 0.4197, Train Acc: 0.8926,Test Loss: 0.4945, Test Acc: 0.8030
Epoch: 68, Train Loss: 0.4130, Train Acc: 0.8993,Test Loss: 0.4742, Test Acc: 0.8325
Epoch: 69, Train Loss: 0.4133, Train Acc: 0.8983,Test Loss: 0.4722, Test Acc: 0.8325
Epoch: 70, Train Loss: 0.4184, Train Acc: 0.8946,Test Loss: 0.4702, Test Acc: 0.8365
Epoch: 71, Train Loss: 0.4148, Train Acc: 0.9001,Test Loss: 0.4715, Test Acc: 0.8309
Epoch: 72, Train Loss: 0.4124, Train Acc: 0.9003,Test Loss: 0.4748, Test Acc: 0.8357
Epoch: 73, Train Loss: 0.4128, Train Acc: 0.8979,Test Loss: 0.4784, Test Acc: 0.8198
Epoch: 74, Train Loss: 0.4153, Train Acc: 0.8979,Test Loss: 0.4792, Test Acc: 0.8214
Epoch: 75, Train Loss: 0.4096, Train Acc: 0.9029,Test Loss: 0.4811, Test Acc: 0.8262
Epoch: 76, Train Loss: 0.4198, Train Acc: 0.8902,Test Loss: 0.4739, Test Acc: 0.8325
Epoch: 77, Train Loss: 0.4105, Train Acc: 0.9013,Test Loss: 0.4630, Test Acc: 0.8421
Epoch: 78, Train Loss: 0.4079, Train Acc: 0.9049,Test Loss: 0.4712, Test Acc: 0.8333
Epoch: 79, Train Loss: 0.4095, Train Acc: 0.9023,Test Loss: 0.4789, Test Acc: 0.8214
Epoch: 80, Train Loss: 0.4090, Train Acc: 0.9051,Test Loss: 0.4676, Test Acc: 0.8381
Epoch: 81, Train Loss: 0.4026, Train Acc: 0.9107,Test Loss: 0.4710, Test Acc: 0.8341
Epoch: 82, Train Loss: 0.4157, Train Acc: 0.8958,Test Loss: 0.4779, Test Acc: 0.8309
Epoch: 83, Train Loss: 0.4059, Train Acc: 0.9049,Test Loss: 0.4708, Test Acc: 0.8309
Epoch: 84, Train Loss: 0.4012, Train Acc: 0.9119,Test Loss: 0.4708, Test Acc: 0.8357
Epoch: 85, Train Loss: 0.4130, Train Acc: 0.9001,Test Loss: 0.4730, Test Acc: 0.8317
Epoch: 86, Train Loss: 0.4049, Train Acc: 0.9077,Test Loss: 0.4625, Test Acc: 0.8477
Epoch: 87, Train Loss: 0.4044, Train Acc: 0.9109,Test Loss: 0.4741, Test Acc: 0.8301
Epoch: 88, Train Loss: 0.4057, Train Acc: 0.9067,Test Loss: 0.4823, Test Acc: 0.8230
