Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.698046744190208	0.6577142178942791	0.5350877192982456	0.5	0.0	0.0	0.0	0.0
1	0.7873658270981332	0.735235560956119	0.69377990430622	0.6877653741247927	0.6978131212723658	0.6020583190394511	0.37894049882246117	0.6020583190394511
2	0.8046258496445488	0.7553640708768519	0.7137161084529505	0.7086438152011922	0.7162162162162162	0.6363636363636364	0.4203608758462454	0.6363636363636364
3	0.8092808409148424	0.7630844526803671	0.7248803827751196	0.7234625875207379	0.7044673539518901	0.7032590051457976	0.44697544925335364	0.7032590051457976
4	0.8108529549352876	0.765310494578483	0.7216905901116427	0.7231813963951297	0.6845425867507886	0.7444253859348199	0.44381692621690383	0.7444253859348199
5	0.8125554393866967	0.7679134254468034	0.7256778309409888	0.7282568962123556	0.6830015313935681	0.7650085763293311	0.45294757693273446	0.7650085763293311
6	0.8141326659730619	0.769504234901918	0.7288676236044657	0.7320248572955037	0.6832579185520362	0.7770154373927959	0.4599113786472703	0.7770154373927959
7	0.8154082511701385	0.7710149247772717	0.7312599681020734	0.734710232545061	0.6841317365269461	0.7838765008576329	0.46497507172102603	0.7838765008576329
8	0.8175350785929195	0.774208303756516	0.7304625199362041	0.7331777409104969	0.6870229007633588	0.7718696397941681	0.46260913224177846	0.7718696397941681
9	0.8187442004330344	0.7742214623546824	0.7328548644338118	0.7364254984112701	0.6850746268656717	0.7873070325900514	0.46826877558408286	0.7873070325900514
10	0.8213643904671095	0.7798109271905957	0.7392344497607656	0.7430616089756208	0.6899109792284867	0.7975986277873071	0.4811979848025162	0.7975986277873071
11	0.8228368094521118	0.7833438049205619	0.7416267942583732	0.7455220313246913	0.6918518518518518	0.8010291595197255	0.4860148618184854	0.8010291595197255
12	0.8254467743543468	0.7879012481409541	0.7424242424242424	0.7458172820065798	0.6951951951951952	0.7941680960548885	0.487087338069369	0.7941680960548885
13	0.8264181618791748	0.7903532410690315	0.7440191387559809	0.7475325478727892	0.6961077844311377	0.7975986277873071	0.4903768487313037	0.7975986277873071
14	0.8282433479126672	0.7933813169236472	0.7440191387559809	0.7466327362708434	0.700920245398773	0.7838765008576329	0.48946678199726557	0.7838765008576329
15	0.8325941415107121	0.7983663890900846	0.7511961722488039	0.7537890504175688	0.7081413210445469	0.79073756432247	0.5037254081205526	0.79073756432247
16	0.8351478681878255	0.8014394793429266	0.7599681020733652	0.7632230126817198	0.7129909365558912	0.8096054888507719	0.521809414978121	0.8096054888507719
17	0.8395037743517906	0.8071388328472882	0.759170653907496	0.7613530916964261	0.71850699844479	0.7924528301886793	0.519202301483116	0.7924528301886793
18	0.8453627748962789	0.8114603471560888	0.7639553429027113	0.7663864128448106	0.7217928902627512	0.8010291595197255	0.5289650744018538	0.8010291595197255
19	0.849509065857518	0.8162234958406716	0.766347687400319	0.7686218822933948	0.7251552795031055	0.8010291595197255	0.5335828190018712	0.8010291595197255
20	0.8549104917521531	0.8232213198388378	0.7623604465709729	0.7628715237747097	0.732463295269168	0.7701543739279588	0.5239750021018412	0.7701543739279588
21	0.8551328883696793	0.8225279256476059	0.7695374800637959	0.7718274611253269	0.7282608695652174	0.8044596912521441	0.5399502890496273	0.8044596912521441
22	0.8592510602183577	0.828509104832091	0.7727272727272727	0.7749205635070158	0.7320872274143302	0.8061749571183533	0.5462163747590715	0.8061749571183533
23	0.8628451940602209	0.8318966860506998	0.7727272727272727	0.7749205635070158	0.7320872274143302	0.8061749571183533	0.5462163747590715	0.8061749571183533
24	0.8658334888405468	0.8362547581405927	0.7870813397129187	0.7860838511936563	0.7705479452054794	0.7718696397941681	0.5721033542328563	0.7718696397941681
25	0.8690135048428781	0.8412966152257118	0.7894736842105263	0.789556561594916	0.7645107794361525	0.79073756432247	0.5778133153774934	0.79073756432247
26	0.8731137827108357	0.8472459918282789	0.7878787878787878	0.7855917667238422	0.7825311942959001	0.7530017152658662	0.572600422832981	0.7530017152658662
27	0.8753786494134609	0.8483775768331547	0.803030303030303	0.8019992689030734	0.788659793814433	0.7873070325900514	0.6040664810596474	0.7873070325900514
28	0.8770248956397481	0.8483824195005253	0.7974481658692185	0.7957708854708545	0.7880910683012259	0.7718696397941681	0.5923412642545403	0.7718696397941681
